model,training_seconds,accuracy,balanced_accuracy,precision_safe,recall_safe,f1_safe,precision_unsafe,recall_unsafe,f1_unsafe,f1_macro,roc_auc,mlflow_run_id
xgboost,7.845536200000424,0.73703,0.6106182313167846,0.7405564454744783,0.9495964804941293,0.8321493084145555,0.7111129665191618,0.27163998213943996,0.3931134753409799,0.6126313918777677,0.715249210049751,19c0da1a871b46abab5a298eb22de677
random_forest,92.00100469999961,0.73703,0.6097865657460761,0.740032874227739,0.9509949596480494,0.8323547599467044,0.7145523971149766,0.2685781718441028,0.390412387862491,0.6113835739045976,0.7143807635848647,f0df0467ca4d47c994dac7c610cb31b4
logistic_regression,0.622692900000402,0.73435,0.6066476658521973,0.738497636617132,0.9490866183025959,0.8306527185450094,0.7032855081076492,0.2642087134017988,0.38411425126932974,0.6073834849071695,0.7073783461024079,2c5e4f75ea5844f2938138bf36f4cc7f
