threshold,accuracy,balanced_accuracy,f1_macro,recall_safe,recall_unsafe
0.05,0.69853,0.5194905119709978,0.4478097425824984,0.9995921102467733,0.0393889136952223
0.055,0.69917,0.5205544313179179,0.44998613866522924,0.99951927279084,0.041589589844995854
0.06,0.69998,0.5219067748174607,0.45274575854049454,0.9994173003525333,0.04439624928238821
0.065,0.7005,0.522770667837894,0.4544964710606269,0.9993590303877866,0.04618230528800153
0.07,0.70123,0.5239867727254364,0.45695453023899624,0.9992716254406666,0.04870192001020603
0.075,0.70181,0.5249376841345708,0.4588527341323148,0.9992279229671066,0.05064744530203483
0.08,0.70239,0.5259232482758179,0.4608488620336062,0.9991259505287999,0.052720546022836004
0.085,0.70309,0.5270828491944674,0.4631578870115093,0.9990531130728666,0.05511258531606813
0.09,0.70385,0.528338131684846,0.465642298387675,0.9989802756169333,0.05769598775275882
0.095,0.70443,0.5293150326430651,0.46758631465871703,0.9988928706698132,0.0597371946163169
0.1,0.70524,0.530632723410495,0.47015228663819375,0.9988491681962532,0.06241627862473688
0.105,0.70591,0.5317618099093362,0.4723794583554303,0.9987471957579466,0.06477642406072591
0.11,0.70654,0.532818445510663,0.47445012810769727,0.9986597908108266,0.06697710021049946
0.115,0.7073,0.5340910543670981,0.4769309485576288,0.9985578183725199,0.06962429036167635
0.12,0.70796,0.5352041939373178,0.4790982318680473,0.9984558459342132,0.07195254194042228
0.125,0.70874,0.536552012566137,0.48173850441820754,0.9982810360399732,0.07482298909230083
0.13,0.70925,0.5375558959524567,0.4838001512793475,0.9979605512338665,0.07715124067104676
0.135,0.70991,0.5386950250717609,0.486008531646383,0.9978148763219998,0.07957517382152197
0.14,0.71062,0.539957204749314,0.4884739596866996,0.9975963639541998,0.08231804554442815
0.145,0.7114,0.5413223497441897,0.49110846620584736,0.9973924190775865,0.08525228041079289
0.15,0.71209,0.5425959514796407,0.493604830631056,0.9971010692538531,0.08809083370542833
0.155,0.71252,0.5434202803388187,0.49523538407683254,0.9968679893948664,0.08997257128277093
0.16,0.7133,0.5447940885167226,0.4978533973609216,0.9966494770270664,0.09293870000637877
0.165,0.714,0.5459883421674848,0.5000881491420319,0.9965183696063864,0.09545831472858328
0.17,0.7146,0.5471097583623138,0.5022515655663718,0.9962415872738397,0.09797792945078777
0.175,0.7153,0.548347327928217,0.5045776947914732,0.9960376423972264,0.10065701345920776
0.18,0.71593,0.5494732689937696,0.5066922133126407,0.995833697520613,0.10311284046692606
